+ plus_sign
⩛ logical_or_with_middle_stem
⩜ logical_and_with_horizontal_dash
⩝ logical_or_with_horizontal_dash
⩞ logical_and_with_double_overbar
⩟ logical_and_with_underbar
⩠ logical_and_with_double_underbar
⩡ small_vee_with_underbar
⩢ logical_or_with_double_overbar
⩣ logical_or_with_double_underbar
⩤ z_notation_domain_antirestriction
⩥ z_notation_range_antirestriction
⩦ equals_sign_with_dot_below
⩧ identical_with_dot_above
⩨ triple_horizontal_bar_with_double_vertical_stroke
⩩ triple_horizontal_bar_with_triple_vertical_stroke
⩪ tilde_operator_with_dot_above
⩫ tilde_operator_with_rising_dots
⩬ similar_minus_similar
⩭ congruent_with_dot_above
⩮ equals_with_asterisk
⩯ almost_equal_to_with_circumflex_accent
⩰ approximately_equal_or_equal_to
⩱ equals_sign_above_plus_sign
⩲ plus_sign_above_equals_sign
⩳ equals_sign_above_tilde_operator
⩴ double_colon_equal
⩵ two_consecutive_equals_signs
⩶ three_consecutive_equals_signs
⩷ equals_sign_with_two_dots_above_and_two_dots_below
⩸ equivalent_with_four_dots_above
⩹ less-than_with_circle_inside
⩺ greater-than_with_circle_inside
⩻ less-than_with_question_mark_above
⩼ greater-than_with_question_mark_above
⩽ less-than_or_slanted_equal_to
⩾ greater-than_or_slanted_equal_to
⩿ less-than_or_slanted_equal_to_with_dot_inside
⪀ greater-than_or_slanted_equal_to_with_dot_inside
⪁ less-than_or_slanted_equal_to_with_dot_above
⪂ greater-than_or_slanted_equal_to_with_dot_above
⪃ less-than_or_slanted_equal_to_with_dot_above_right
⪄ greater-than_or_slanted_equal_to_with_dot_above_left
⪅ less-than_or_approximate
⪆ greater-than_or_approximate
⪇ less-than_and_single-line_not_equal_to
⪈ greater-than_and_single-line_not_equal_to
⪉ less-than_and_not_approximate
⪊ greater-than_and_not_approximate
⪋ less-than_above_double-line_equal_above_greater-than
⪌ greater-than_above_double-line_equal_above_less-than
⪍ less-than_above_similar_or_equal
⪎ greater-than_above_similar_or_equal
⪏ less-than_above_similar_above_greater-than
⪐ greater-than_above_similar_above_less-than
⪑ less-than_above_greater-than_above_double-line_equal
⪒ greater-than_above_less-than_above_double-line_equal
⪓ less-than_above_slanted_equal_above_greater-than_above_slanted_equal
⪔ greater-than_above_slanted_equal_above_less-than_above_slanted_equal
⪕ slanted_equal_to_or_less-than
⪖ slanted_equal_to_or_greater-than
⪗ slanted_equal_to_or_less-than_with_dot_inside
⪘ slanted_equal_to_or_greater-than_with_dot_inside
⪙ double-line_equal_to_or_less-than
⪚ double-line_equal_to_or_greater-than
⪛ double-line_slanted_equal_to_or_less-than
⪜ double-line_slanted_equal_to_or_greater-than
⪝ similar_or_less-than
⪞ similar_or_greater-than
⪟ similar_above_less-than_above_equals_sign
⪠ similar_above_greater-than_above_equals_sign
⪡ double_nested_less-than
⪢ double_nested_greater-than
⪣ double_nested_less-than_with_underbar
⪤ greater-than_overlapping_less-than
⪥ greater-than_beside_less-than
⪦ less-than_closed_by_curve
⪧ greater-than_closed_by_curve
⪨ less-than_closed_by_curve_above_slanted_equal
⪩ greater-than_closed_by_curve_above_slanted_equal
⪪ smaller_than
⪫ larger_than
⪬ smaller_than_or_equal_to
⪭ larger_than_or_equal_to
⪮ equals_sign_with_bumpy_above
⪯ precedes_above_single-line_equals_sign
⪰ succeeds_above_single-line_equals_sign
⪱ precedes_above_single-line_not_equal_to
⪲ succeeds_above_single-line_not_equal_to
⪳ precedes_above_equals_sign
⪴ succeeds_above_equals_sign
⪵ precedes_above_not_equal_to
⪶ succeeds_above_not_equal_to
⪷ precedes_above_almost_equal_to
⪸ succeeds_above_almost_equal_to
⪹ precedes_above_not_almost_equal_to
⪺ succeeds_above_not_almost_equal_to
⪻ double_precedes
⪼ double_succeeds
⪽ subset_with_dot
⪾ superset_with_dot
⪿ subset_with_plus_sign_below
⫀ superset_with_plus_sign_below
⫁ subset_with_multiplication_sign_below
⫂ superset_with_multiplication_sign_below
⫃ subset_of_or_equal_to_with_dot_above
⫄ superset_of_or_equal_to_with_dot_above
⫅ subset_of_above_equals_sign
⫆ superset_of_above_equals_sign
⫇ subset_of_above_tilde_operator
⫈ superset_of_above_tilde_operator
⫉ subset_of_above_almost_equal_to
⫊ superset_of_above_almost_equal_to
⫋ subset_of_above_not_equal_to
⫌ superset_of_above_not_equal_to
⫍ square_left_open_box_operator
⫎ square_right_open_box_operator
⫏ closed_subset
⫐ closed_superset
⫑ closed_subset_or_equal_to
